gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
MYH7,-3.53850411,6.622223466,-9.059474461,7.63E-06,8.14E-05,3.471372856
MYH15,-2.059049612,1.679911595,-7.600814151,3.17E-05,0.00023839,2.683474675
MYH11,0.920519561,2.920030466,5.935586917,0.000211804,0.001013375,0.466648454
MYH9,0.294029746,10.27229213,5.043188906,0.000678492,0.002513801,-1.344236579
MYH7B,-1.104495716,4.274935078,-3.47540789,0.006897521,0.01643058,-3.563827093
MYH10,0.145109344,10.07527559,2.951087908,0.016043933,0.033258217,-4.680234291
MYH3,0.294372461,2.129985074,2.331538385,0.044400467,0.077922416,-4.937090263
MYH14,0.144011829,3.448826583,1.468861651,0.175648845,0.244920596,-6.523234817
MYH6,0.437847317,11.2237264,1.274878441,0.234012272,0.310671772,-7.206190847
MYH16,0.057219292,-1.857908821,0.1882402,0.854828891,0.886719409,-6.66015644
